"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"1","Stephen Gostkowski (TEN)","35","37","94.6","53","1","11","10","12","1","51","51","16","154.0","9.6","29.6%"
"2","Cody Parkey (CLE)","32","36","88.9","54","0","10","14","4","4","54","54","16","146.0","9.1","1.0%"
"3","Adam Vinatieri (FA)","30","31","96.8","53","0","10","10","7","3","50","50","16","139.0","8.7","0.1%"
"4","Shaun Suisham (FA)","29","32","90.6","53","0","12","6","10","1","45","45","16","129.0","8.1","0.0%"
"5","Dan Carpenter (FA)","34","38","89.5","58","0","9","12","7","6","31","32","16","128.0","8.0","0.2%"
"6","Stephen Hauschka (FA)","31","37","83.8","58","0","10","10","9","2","41","41","16","128.0","8.0","0.2%"
"7","Dan Bailey (MIN)","25","29","86.2","56","0","6","6","8","5","56","56","16","127.0","7.9","24.3%"
"8","Mason Crosby (GB)","27","33","81.8","55","0","7","11","5","4","53","53","16","126.0","7.9","40.6%"
"9","Randy Bullock (CIN)","30","35","85.7","55","0","6","13","7","4","40","40","16","125.0","7.8","14.5%"
"10","Justin Tucker (BAL)","29","34","85.3","55","0","10","11","4","4","42","42","16","124.0","7.8","95.8%"
"11","Matt Bryant (FA)","29","32","90.6","54","0","10","4","8","7","40","40","16","124.0","7.8","2.0%"
"12","Caleb Sturgis (FA)","29","37","78.4","53","1","12","7","6","3","41","41","16","120.0","7.5","0.0%"
"13","Graham Gano (NYG)","29","35","82.9","53","0","7","12","9","1","34","34","16","115.0","7.2","9.0%"
"14","Josh Brown (FA)","24","26","92.3","53","1","6","9","4","4","44","44","16","114.0","7.1","0.0%"
"15","Nick Folk (NE)","32","39","82.1","55","0","13","7","9","3","23","23","16","112.0","7.0","2.9%"
"16","Mike Nugent (ARI)","26","33","78.8","49","0","6","10","10","0","39","39","16","110.0","6.9","1.0%"
"17","Chandler Catanzaro (FA)","29","33","87.9","51","0","5","12","10","2","27","27","16","110.0","6.9","0.0%"
"18","Cairo Santos (CHI)","25","30","83.3","53","1","10","6","7","1","38","38","16","108.0","6.8","1.0%"
"19","Nick Novak (FA)","22","26","84.6","52","1","6","8","4","3","40","40","16","102.0","6.4","0.1%"
"20","Phil Dawson (FA)","25","31","80.6","55","0","6","8","5","6","33","33","16","102.0","6.4","0.0%"
"21","Kai Forbath (LAR)","24","27","88.9","49","0","11","6","7","0","31","31","16","99.0","6.2","2.2%"
"22","Shayne Graham (FA)","19","22","86.4","50","0","6","9","3","1","46","46","16","99.0","6.2","0.0%"
"23","Greg Zuerlein (DAL)","24","30","80.0","56","1","6","10","2","5","34","35","16","99.0","6.2","35.4%"
"24","Blair Walsh (FA)","26","35","74.3","55","2","4","8","7","5","29","29","16","98.0","6.1","0.1%"
"25","Billy Cundiff (FA)","22","29","75.9","52","0","6","10","5","1","28","28","13","87.0","6.7","0.0%"
"26","Patrick Murray (FA)","20","24","83.3","55","0","2","7","6","5","31","31","16","87.0","5.4","1.0%"
"27","Sebastian Janikowski (FA)","19","22","86.4","57","0","2","5","9","3","28","28","16","82.0","5.1","20.0%"
"28","Ryan Succop (TB)","19","22","86.4","51","0","5","7","5","2","27","27","16","81.0","5.1","21.7%"
"29","Matt Prater (DET)","21","26","80.8","52","0","8","4","6","3","21","21","11","79.0","7.2","63.0%"
"30","Josh Scobee (FA)","20","26","76.9","53","0","3","7","7","3","23","23","16","77.0","4.8","0.0%"
"31","Brandon McManus (DEN)","9","13","69.2","44","0","5","2","2","0","41","41","15","64.0","4.3","27.0%"
"32","Connor Barth (FA)","15","16","93.8","50","2","4","5","3","1","15","15","5","59.0","11.8","0.0%"
"33","Robbie Gould (SF)","9","12","75.0","45","0","4","2","3","0","28","28","12","51.0","4.3","34.8%"
"34","Jay Feely (FA)","3","4","75.0","48","0","1","1","1","0","5","5","4","12.0","3.0","0.0%"
"35","Nate Freese (FA)","3","7","42.9","30","0","2","1","0","0","6","6","3","11.0","3.7","0.0%"
"36","Garrett Hartley (FA)","3","3","100.0","43","0","0","2","1","0","2","2","2","11.0","5.5","0.0%"
"37","Alex Henery (FA)","1","5","20.0","51","0","0","0","0","1","5","5","2","4.0","2.0","0.0%"
"38","Daniel Carlson (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68.0%"
"39","Ryan Santoso (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"40","Matt McCrane (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"41","Harrison Butker (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93.4%"
"42","Michael Badgley (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.1%"
"43","Matt Gay (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.3%"
"44","Kaare Vedvik (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"45","Greg Joseph (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"46","Rigoberto Sanchez (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"47","Eddy Pineiro (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"48","Younghoe Koo (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.6%"
"49","Jason Sanders (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81.0%"
"50","Zane Gonzalez (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36.5%"
"51","Josh Lambo (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
