"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"1","Greg Zuerlein (DAL)","38","40","95.0","56","1","8","11","12","6","44","46","14","182.0","13.0","35.4%"
"2","Stephen Gostkowski (TEN)","37","40","92.5","62","0","16","9","8","4","45","47","16","172.0","10.8","29.6%"
"3","Robbie Gould (SF)","39","41","95.1","52","0","7","11","17","4","28","30","16","170.0","10.6","34.8%"
"4","Justin Tucker (BAL)","34","37","91.9","57","0","7","11","11","5","39","39","16","162.0","10.1","95.8%"
"5","Matt Bryant (FA)","34","39","87.2","57","1","6","10","9","8","35","35","16","162.0","10.1","2.0%"
"6","Wil Lutz (NO)","31","36","86.1","53","0","10","4","13","4","47","50","16","161.0","10.1","93.9%"
"7","Harrison Butker (KC)","38","42","90.5","53","0","8","16","10","4","28","28","13","160.0","12.3","93.4%"
"8","Chris Boswell (PIT)","35","38","92.1","53","0","10","12","9","4","37","39","16","159.0","9.9","29.8%"
"9","Ryan Succop (TB)","35","42","83.3","52","0","10","7","16","2","31","33","16","156.0","9.8","21.7%"
"10","Matt Prater (DET)","30","35","85.7","58","2","4","10","7","7","40","41","16","151.0","9.4","63.0%"
"11","Kai Forbath (LAR)","32","38","84.2","53","0","8","12","6","6","34","39","16","148.0","9.3","2.2%"
"12","Jake Elliott (PHI)","26","31","83.9","61","0","5","4","12","5","39","42","15","139.0","9.3","14.7%"
"13","Stephen Hauschka (FA)","29","33","87.9","56","0","6","9","7","7","29","29","16","137.0","8.6","0.2%"
"14","Phil Dawson (FA)","32","40","80.0","57","1","7","10","10","4","23","26","16","137.0","8.6","0.0%"
"15","Graham Gano (NYG)","29","30","96.7","48","0","8","11","10","0","34","37","16","131.0","8.2","9.0%"
"16","Adam Vinatieri (FA)","29","34","85.3","54","0","11","7","6","5","22","24","15","125.0","8.3","0.1%"
"17","Chandler Catanzaro (FA)","25","30","83.3","57","1","6","4","12","2","29","29","16","120.0","7.5","0.0%"
"18","Brandon McManus (DEN)","24","32","75.0","53","0","6","11","4","3","27","27","16","109.0","6.8","27.0%"
"19","Blair Walsh (FA)","21","29","72.4","49","0","6","7","8","0","37","38","16","108.0","6.8","0.1%"
"20","Ka'imi Fairbairn (HOU)","20","25","80.0","55","0","3","8","6","3","32","35","16","104.0","6.5","16.3%"
"21","Cody Parkey (CLE)","21","23","91.3","54","0","6","8","6","1","26","29","16","97.0","6.1","1.0%"
"22","Randy Bullock (CIN)","18","20","90.0","51","0","6","7","4","1","31","33","15","91.0","6.1","14.5%"
"23","Giorgio Tavecchio (TEN)","16","21","76.2","53","0","5","5","3","3","33","34","16","90.0","5.6","1.0%"
"24","Josh Lambo (JAC)","19","20","95.0","56","0","2","11","4","2","22","24","10","87.0","8.7","0.8%"
"25","Patrick Murray (FA)","19","23","82.6","50","0","5","8","4","2","21","22","12","86.0","7.2","1.0%"
"26","Aldrick Rosas (JAC)","18","25","72.0","52","0","8","3","4","3","20","23","16","84.0","5.3","0.1%"
"27","Mason Crosby (GB)","15","19","78.9","50","0","8","2","4","1","33","35","16","84.0","5.3","40.6%"
"28","Dan Bailey (MIN)","15","20","75.0","56","1","3","4","4","3","26","28","12","81.0","6.8","24.3%"
"29","Zane Gonzalez (ARI)","15","20","75.0","54","0","5","4","4","2","25","26","16","78.0","4.9","36.5%"
"30","Dustin Hopkins (WAS)","14","17","82.4","49","1","7","2","4","0","18","19","8","64.0","8.0","1.0%"
"31","Nick Rose (FA)","11","14","78.6","55","0","6","3","1","1","23","26","10","59.0","5.9","0.0%"
